,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
2,BETHEL STUDENT CARE CENTRE,114,ALJUNIED AVENUE 2,BETHEL STUDENT CARE CENTRE,114 ALJUNIED AVENUE 2 BETHEL STUDENT CARE CENTRE SINGAPORE 380114,380114,33937.7942876052,33779.7978037708,1.32176643595483,103.886672786551,103.886672786551,380114
3,DBS NTUC ALJUNIED AVENUE 2,114,ALJUNIED AVENUE 2,DBS NTUC ALJUNIED AVENUE 2,114 ALJUNIED AVENUE 2 DBS NTUC ALJUNIED AVENUE 2 SINGAPORE 380114,380114,33952.743311815,33775.1668022629,1.32172455192598,103.886807110468,103.886807110468,380114
4,OCBC ALJUNIED AVE 2 - FAIRPRICE,114,ALJUNIED AVENUE 2,OCBC ALJUNIED AVE 2 - FAIRPRICE,114 ALJUNIED AVENUE 2 OCBC ALJUNIED AVE 2 - FAIRPRICE SINGAPORE 380114,380114,33952.743311815,33775.1668022629,1.32172455192598,103.886807110468,103.886807110468,380114
0,111 SOMERSET,111,SOMERSET ROAD,111 SOMERSET,111 SOMERSET ROAD 111 SOMERSET SINGAPORE 238164,238164,28450.0566219706,31394.2242456544,1.30019272342804,103.837362540861,103.837362540861,238164
1,EMBASSY OF SWEDEN,111,SOMERSET ROAD,EMBASSY OF SWEDEN,111 SOMERSET ROAD EMBASSY OF SWEDEN SINGAPORE 238164,238164,28441.5912420163,31396.4583860692,1.30021292832853,103.837286475638,103.837286475638,238164
2,OCBC TRIPLE ONE SOMERSET - FAIRPRICE,111,SOMERSET ROAD,OCBC TRIPLE ONE SOMERSET - FAIRPRICE,111 SOMERSET ROAD OCBC TRIPLE ONE SOMERSET - FAIRPRICE SINGAPORE 238164,238164,28456.479034096,31404.6240524482,1.30028677552649,103.837420249281,103.837420249281,238164
3,SWEDISH SUPPLEMENTARY EDUCATION SCHOOL,111,SOMERSET ROAD,SWEDISH SUPPLEMENTARY EDUCATION SCHOOL,111 SOMERSET ROAD SWEDISH SUPPLEMENTARY EDUCATION SCHOOL SINGAPORE 238164,238164,28444.4837110769,31406.09997987,1.30030012346782,103.837312465913,103.837312465913,238164
0,KITS4KIDS SPECIAL SCHOOL,215,ANG MO KIO AVENUE 1,KITS4KIDS SPECIAL SCHOOL,215 ANG MO KIO AVENUE 1 KITS4KIDS SPECIAL SCHOOL SINGAPORE 560215,560215,28949.8227424249,38724.786784118,1.36648772103091,103.841853392645,103.841853392645,560215
1,ANG MO KIO 22,215,ANG MO KIO AVENUE 1,ANG MO KIO 22,215 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560215,560215,28924.3032907965,38732.5911415759,1.36655830166122,103.841624082978,103.841624082978,560215
2,DBS NTUC ANG MO KIO AVENUE 1,215,ANG MO KIO AVENUE 1,DBS NTUC ANG MO KIO AVENUE 1,215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215,560215,28945.1255145678,38726.7811112981,1.36650575716426,103.84181118487,103.84181118487,560215
3,OCBC ANG MO KIO AVE 1 - FAIRPRICE,215,ANG MO KIO AVENUE 1,OCBC ANG MO KIO AVE 1 - FAIRPRICE,215 ANG MO KIO AVENUE 1 OCBC ANG MO KIO AVE 1 - FAIRPRICE SINGAPORE 560215,560215,28943.0303041982,38726.9583908785,1.36650736048429,103.841792357962,103.841792357962,560215
0,HILLCREST PARK,20,GREENWOOD AVENUE,HILLCREST PARK,20 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289215,289215,25049.7616222855,34855.0747053567,1.33149129253858,103.806809027748,103.806809027748,289215
0,THE MEADOWS,639,PUNGGOL DRIVE,THE MEADOWS,639 PUNGGOL DRIVE THE MEADOWS SINGAPORE 820639,820639,37207.4121407364,42369.3232248146,1.39944615081315,103.916054653165,103.916054653165,820639
1,DBS PUNGGOL DRIVE,639,PUNGGOL DRIVE,DBS PUNGGOL DRIVE,639 PUNGGOL DRIVE DBS PUNGGOL DRIVE SINGAPORE 820639,820639,37207.3948879857,42370.9849068522,1.39946117845803,103.916054498662,103.916054498662,820639
