flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_central
128 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5816666015020897,11,Market Street Food Centre,1.2489955506205164,1,BUKIT BATOK MRT STATION,0.5315000092327334,3,0.41462581566226836,18,13.947441482699213
887C WOODLANDS DR 50,Woodlands Primary School,0.32552034338994645,19,Blks 20/21 Marsiling Lane,2.0795067652967414,0,WOODLANDS MRT STATION,0.7577682180787171,4,0.06883186462403336,14,18.05989568857207
843 WOODLANDS ST 82,Evergreen Primary School,0.1992596087985875,17,Blks 20/21 Marsiling Lane,1.7648861860192484,2,ADMIRALTY MRT STATION,0.9283049218374357,4,0.2503473889142879,14,18.746087692479957
496B TAMPINES ST 43,Tampines Primary School,0.23697036793035647,24,Market Street Food Centre,1.8512942636512832,1,TAMPINES EAST MRT STATION,0.6871296761330694,4,0.2580330045451834,18,13.980871300833602
7 BOON KENG RD,Hong Wen School,0.7105261050981413,5,Berseh Food Centre,1.1778371699684018,16,BOON KENG MRT STATION,0.288438751038577,14,0.5970834251485242,28,3.7908370514306564
540 JELAPANG RD,West View Primary School,0.3698400668051119,12,Bukit Timah Market,5.029149059645471,0,SENJA LRT STATION,0.15189025889055197,14,0.37374459525500053,11,14.692370124309285
561 CHOA CHU KANG NTH 6,De La Salle School,0.21808672161481762,8,Market Street Food Centre,5.892803433515346,0,YEW TEE MRT STATION,0.3061458383361607,4,0.20840481694161836,6,17.156864054210917
785 CHOA CHU KANG DR,Kranji Primary School,0.09515105618308868,11,Market Street Food Centre,5.759670358634414,0,YEW TEE MRT STATION,0.32770137366936497,5,0.33346950748000076,10,16.792818917388388
91 BEDOK NTH ST 4,Red Swastika School,0.6729090852308628,10,Blk 58 New Upper Changi Road,0.9364531219729116,8,TANAH MERAH MRT STATION,0.8901359018634373,5,0.25662072780082823,20,11.250473756631582
5 HOLLAND CL,New Town Primary School,0.9617123364102493,7,Holland Village Market & Food Centre,0.4161857484275652,5,HOLLAND VILLAGE MRT STATION,0.46009795945642956,7,0.303246309511843,12,6.668965509470713
173 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.34143866776856896,11,Market Street Food Centre,0.4376270014984188,1,CHINESE GARDEN MRT STATION,1.0025725485423203,5,0.2508459621625033,21,14.089323904514654
803B KEAT HONG CL,Chua Chu Kang Primary School,0.46516664157195264,7,Market Street Food Centre,3.4065224253150244,0,SOUTH VIEW LRT STATION,0.7485667389711363,7,0.3525540915944225,11,15.589070656333982
341 UBI AVE 1,Maha Bodhi School,0.1874723837188842,7,Blk 4A Eunos Crescent,0.7690894067366562,10,UBI MRT STATION,0.44237039999767813,9,0.35167093876597305,18,7.3001046147233
204 ANG MO KIO AVE 3,Ang Mo Kio Primary School,0.5755453474623154,10,Blk 724 Ang Mo Kio Ave 6,0.6073213516643096,4,ANG MO KIO MRT STATION,0.6880447738467391,4,0.24981520010705732,14,9.242466792355001
981B BUANGKOK CRES,Hougang Primary School,0.29658740678490547,15,Chomp Chomp Food Centre,2.339600906906736,0,TONGKANG LRT STATION,1.1743129814142332,9,0.09137966750613348,19,11.118610818358103
501 BT BATOK ST 52,Lianhua Primary School,0.30711570926711257,8,Market Street Food Centre,2.1022700696815244,0,BUKIT BATOK MRT STATION,0.6604360712525733,3,0.47713185580790934,16,13.064652636548978
633 JURONG WEST ST 65,West Grove Primary School,0.1656796954113455,14,Blk 505 Jurong West Street 52,2.24108038542883,0,PIONEER MRT STATION,0.6648071487622111,2,0.3168898782553237,8,18.146777035223487
